Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2018-01-01,428.9168701171875,433.4610320471316,427.4436218368076,430.639053892024,5431340
2018-01-02,427.3191223144531,432.423566636974,424.53868394397733,430.45234596372484,6112248
2018-01-03,423.8331604003906,428.1075914496,422.7126720810883,426.82112080879324,6846552
2018-01-04,421.38470458984375,423.7086596826677,418.9777203439487,423.7086596826677,8947614
2018-01-05,419.97369384765625,425.9496142475281,417.48373123591125,421.3431682182741,11025976
2018-01-08,429.954345703125,431.17855714676546,423.31441959013284,425.3271547127432,5594690
2018-01-09,432.15380859375,433.62705693267156,426.9871557470884,431.59357706290155,9948236
2018-01-10,436.6772155761719,438.2334422888453,428.7093550706524,434.41551968378843,9468634
2018-01-11,446.45037841796875,449.6043213648994,437.9222350275515,437.9222350275515,16775298
2018-01-12,447.550048828125,450.6417830710456,444.27163829471004,450.600293822222,18016528
2018-01-15,448.6705322265625,453.5674284011073,442.0098618409887,448.1932792512314,10649250
2018-01-16,465.9757995605469,470.9350060929508,448.7120668207915,448.7120668207915,22646966
2018-01-17,478.1144104003906,482.13988119051925,466.038099346864,466.80582784722765,26154088
2018-01-18,478.3634033203125,483.4263588196658,469.81453991523796,475.1679708539246,13204970
2018-01-19,474.5246276855469,476.3713804413262,471.4329442214071,475.16788832175274,5988278
2018-01-22,477.242919921875,480.1271068702055,469.7730307404891,469.8352899486863,9650214
2018-01-23,488.4892272949219,493.0126701748444,479.31787378109874,479.31787378109874,15403796
2018-01-24,492.099609375,506.7281390732502,484.5052034810523,487.5346781216453,20604718
2018-01-25,487.7837219238281,491.1036723188742,482.3265433302866,490.5226708680566,13548914
2018-01-29,490.8962097167969,496.4363671939215,483.5507885594987,484.1110707545464,10823002
2018-01-30,485.8125305175781,490.97918336641413,482.5132992195475,489.2362295678353,8628312
2018-01-31,477.34661865234375,484.1317571535354,473.98517900260345,481.040073605594,9213698
